Dia;no_BS;no2_BS;n2o_BS;no_LV;no2_LV;n2o_LV;no_DV;no2_DV;n2o_DV
D11;2.79725;-2.92334;2.894222825;1.936594619;-3.097591837;4.327132598;1.87475262;-2.932776666;6.102542038
D11;2.8545;-2.45938;3.17894348;1.832246193;-2.36833311;3.741506844;1.979331444;-2.219662356;6.42342733
D11;2.45331;-1.61167;2.657627274;1.887093916;-1.893978822;4.877908861;2.003185132;-1.665910996;7.298997017
D11;2.26222;-1.77093;3.029001535;1.921885248;-2.21090735;3.778450807;2.141453757;-1.968384414;5.172143334
D11;2.60557;-1.55173;2.337590082;1.85544506;-1.66335881;3.36929624;2.041351517;-1.672336645;5.925686011
D11;2.5419;-1.48875;3.284455064;1.860828304;-1.778222792;3.511455389;2.351471435;-1.852438111;5.902188122
D11;2.96543;-1.57344;1.841409016;2.161076151;-2.32918614;3.166591293;2.773389468;-2.517346205;5.182960337
D11;3.19488;-3.13714;1.946320917;2.266159658;-3.748096768;3.293447352;2.187190702;-3.417505975;5.275774341
D11;3.26462;-7.5278;3.063899618;2.680464438;-8.50218816;3.92970406;2.558973692;-8.840525169;6.224920294
D11;4.02305;-6.22686;3.41751738;3.383347939;-7.356820574;3.707515154;2.555826801;-6.737909516;5.37729881
D11;4.17642;-2.90446;4.08583986;3.512215833;-3.824722957;4.0121828;2.706558519;-3.206049697;6.753674939
D11;3.83946;-2.34488;4.184298448;3.202172107;-3.078034084;4.966572204;2.585518426;-2.497790164;5.768889006
D11;3.61458;-1.78249;3.849205096;2.664749925;-2.241627459;4.013438265;3.37249777;-2.492707881;6.474225357
D11;3.91576;-1.91301;3.556157791;3.033612985;-2.302863749;4.231527326;2.448413974;-1.884210875;6.358086114
D11;6.5408;-2.5547;4.134657742;4.678391823;-2.886944706;5.851885883;3.092729374;-2.305053858;7.498237309
D11;8.23119;-2.7453;4.520198521;3.953990042;-2.644784213;4.774142593;3.075784051;-2.149617323;5.904159755
D11;5.20089;-1.73001;4.751552778;2.825884422;-1.790280949;4.345121995;2.259559223;-1.469629391;5.998451474
D11;4.68452;-1.80378;4.536530214;2.581375704;-1.551814792;5.399942323;2.541834339;-1.484029408;6.461808215
D11;4.33198;-3.2882;2.771728581;2.421937512;-2.888056632;4.38932688;2.869695377;-3.249411502;6.515606692
D11;3.9804;-3.22218;4.489352564;2.2355697;-3.24213605;4.768052184;2.41732552;-2.919458605;7.3309987
D11;4.33386;-2.96738;4.009955488;2.871069691;-3.164601549;5.002112914;2.542856117;-2.450463469;6.36472771
D11;4.19015;-2.31216;4.765264921;2.445102936;-2.245563808;4.869757631;2.574388447;-1.997814071;6.715758208
D12;4.0061;-3.02554;4.362625765;2.237069412;-3.022224991;5.412879126;2.298387812;-3.014306937;7.121759534
D12;3.85155;-1.67923;2.831564404;2.628547885;-1.678910496;4.950414119;2.597130545;-1.396493058;6.049169509
D12;3.56381;-1.582;2.98845739;2.012749038;-1.360540455;4.732899021;2.409695604;-1.531722092;5.915888606
D12;3.721;-1.44604;3.380484652;2.090749716;-1.248940331;4.563280467;2.562770349;-1.302812314;6.784718233
D12;3.76245;-1.82636;3.599722008;2.188471062;-1.905110819;4.735467688;2.341897604;-1.733273567;6.435392897
D12;3.28664;-1.86658;3.818959364;1.794555952;-1.916227353;4.014916476;2.139797603;-1.842392097;5.705032054
D12;3.10379;-2.05642;2.6335595;1.92668254;-2.21612529;3.696587844;2.121158815;-2.055565903;5.723051177
D12;3.04317;-2.56368;2.807151109;1.896246219;-2.807114955;3.69992699;2.260793749;-2.7608777;5.548378454
D12;3.68068;-2.16534;3.789385285;2.109949963;-2.376419224;4.762911615;2.455084803;-2.27594592;7.30947423
